Barrier_Type,Barrier_Strength,Frequency_Occurrence,Impact_on_Purchase,Mitigation_Strategy
Fit Uncertainty,8.7,89,High - 78% abandon,"Size guides, Virtual fitting, Easy returns"
Quality Concerns,7.9,76,Medium - 45% hesitate,"Detailed descriptions, Reviews, Guarantees"
Price Anxiety,8.2,82,High - 71% delay,"Payment plans, Value messaging, Comparisons"
Return Complexity,6.8,65,Medium - 38% concerned,"Simplified returns, Free shipping back"
Fabric Assessment,7.3,71,Medium - 42% uncertain,"High-res images, Fabric samples, Descriptions"
Style Mismatch,6.9,63,Low - 28% reconsider,"Style guides, Personalization, Consultations"
Size Inconsistency,8.1,85,High - 69% abandon,"Multiple size options, Exchange policies"
Delivery Risk,5.4,52,Low - 22% worried,"Tracking, Insurance, Reliable carriers"
Social Judgment,7.6,68,Medium - 51% anxious,"Style confidence, Social proof, Testimonials"
Professional Image,8.0,73,High - 65% overthink,"Professional imagery, Success stories"
Occasion Appropriateness,7.2,66,Medium - 41% hesitate,"Occasion guides, Versatility emphasis"
Brand Trust,6.5,58,Medium - 35% research more,"Brand heritage, Certifications, Reviews"
