Fit Issue Category,Customer Language Examples,Frequency (%)
Overall Size Problems,"""Runs way too small compared to my usual size""",18
Overall Size Problems,"""This is nothing like a medium should fit""",15
Overall Size Problems,"""Sizing is completely off - ordered XL but fits like a small""",12
Overall Size Problems,"""Doesn't fit like my other [Brand X] suits""",10
Chest/Torso Issues,"""Too tight across the chest, can't button properly""",16
Chest/Torso Issues,"""Jacket pulls when I move my arms""",14
Chest/Torso Issues,"""Feels boxy and shapeless through the torso""",8
Shoulder Issues,"""Shoulders are way too wide/narrow for me""",12
Shoulder Issues,"""Shoulder seams don't sit right""",9
Sleeve Issues,"""Sleeves are ridiculously short/long""",13
Sleeve Issues,"""Arms feel restricted when I reach""",11
Sleeve Issues,"""Cuffs hit at a weird spot""",7
Waist Issues,"""Waist is huge but chest is tight""",15
Waist Issues,"""No shape at the waist - looks like a tent""",10
Length Issues,"""Jacket length is all wrong""",11
Length Issues,"""Pants drag on the ground even with dress shoes""",9
Collar/Neck Issues,"""Collar gaps terribly at the back""",8
Collar/Neck Issues,"""Neckline sits funny""",6
Movement/Comfort Issues,"""Can't move comfortably - too restrictive""",12
Movement/Comfort Issues,"""Material doesn't stretch at all""",9
Material/Fabric Issues,"""Fabric feels cheap and stiff""",10
Material/Fabric Issues,"""Material is see-through/too thin""",7
Styling/Aesthetic Issues,"""Looks nothing like the website photos""",9
Styling/Aesthetic Issues,"""Cut makes me look bigger than I am""",6
