Behavior_Pattern,Purchase_Intent_Score,Conversion_Rate,Time_to_Purchase_Days,Influence_Strength
Saves Product Posts,8.7,45,3.2,9.1
Shares/Reposts Content,8.4,42,4.1,8.8
Comments on Brands,7.6,36,7.8,7.4
Tags Friends in Posts,8.1,39,5.3,8.3
Stories Engagement,7.2,32,9.2,7.0
Direct Messages to Brands,8.9,48,2.8,9.4
Follows Fashion Influencers,6.8,28,12.4,6.9
Uses Branded Hashtags,7.3,31,8.6,7.1
Screenshots Outfits,8.2,41,4.7,8.5
Engages with UGC,7.9,37,6.9,7.7
Likes Multiple Times,6.5,25,11.3,6.2
Visits Profile Repeatedly,8.0,38,5.8,8.1
