Social_Proof_Type,Impact_on_Purchase_Decision,Trust_Level_Score,Conversion_Influence,Gen_Z_Effectiveness,Millennial_Effectiveness
Peer Recommendations,87,9.2,34,91,83
User Reviews & Ratings,82,8.8,31,85,89
Celebrity Endorsements,76,7.1,28,68,79
Social Media Mentions,71,6.9,25,88,75
Expert Testimonials,69,8.5,27,62,76
Group Purchasing,85,9.0,38,82,87
Influencer Partnerships,74,7.3,29,92,71
User-Generated Content,68,7.8,24,89,73
Social Media Engagement,63,6.4,21,94,68
Wedding Party Coordination,89,9.3,42,78,92
Brand Heritage,58,8.1,19,45,71
Industry Awards,61,7.6,22,58,68
