Fabric_Type,Durability_Rating,Wrinkle_Resistance,Breathability,Shape_Retention,Moisture_Management,Professional_Lifespan_Years,Care_Difficulty,Cost_Per_Yard_Range
Worsted Wool (100%),9,8,8,9,7,10,7,$80-150
Wool Flannel,8,7,6,8,6,12,8,$60-120
Tropical Wool,7,8,9,8,8,8,6,$90-180
Super 120s Wool,8,7,7,7,7,8,7,$100-200
Super 150s Wool,6,5,8,6,7,5,9,$150-350
Cotton Twill,7,4,9,6,8,6,4,$15-40
Cotton Poplin,6,3,9,5,8,4,3,$12-30
Linen (100%),5,2,10,4,9,3,6,$25-80
Linen-Cotton Blend,6,4,9,5,8,5,5,$20-60
Polyester (100%),8,9,3,8,2,8,2,$8-25
Wool-Polyester Blend,7,8,6,7,5,7,5,$30-80
Wool-Silk Blend,7,6,7,6,6,6,8,$120-300
Cashmere,6,5,8,5,6,4,9,$200-500
Merino Wool,7,7,9,7,8,6,7,$80-200
